"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-1.527,-0.055846,-0.072749,0.99574,-1.1598,0.3,0.098129,0,0,0,0,83.48,-6970.6,-13303,-2.857e+05,-21495,-28.107,1.3485,-0.67968,87.12
-1.5198,-0.058568,-0.068426,0.9959,-1.1592,0.3,0.09817,0,0,0,0,83.31,-6937.6,-12459,-2.8349e+05,-20699,-27.715,1.2717,-0.781,86.511
-1.5201,-0.063696,-0.066139,0.99577,-1.1588,0.3,0.098188,0,0,0,0,83.261,-6939.2,-12445,-2.8304e+05,-20192,-27.634,1.2685,-0.81151,86.386
-1.4898,-0.06515,-0.0655,0.99572,-1.1574,0.3,0.098282,0,0,0,0,82.681,-6800.9,-11048,-2.7821e+05,-19197,-26.821,1.1315,-0.94833,85.08
-1.455,-0.064558,-0.065283,0.99578,-1.1559,0.3,0.098376,0,0,0,0,82.036,-6642,-10002,-2.743e+05,-18985,-26.182,1.0347,-1.0886,84.047
-1.4325,-0.063801,-0.064984,0.99584,-1.1545,0.3,0.09847,0,0,0,0,81.341,-6539.4,-9266.5,-2.7217e+05,-18769,-25.835,0.96427,-1.1903,83.481
-1.4183,-0.063595,-0.064864,0.99587,-1.153,0.3,0.098565,0,0,0,0,80.727,-6474.4,-8715.5,-2.7111e+05,-18659,-25.661,0.91351,-1.2692,83.199
-1.4073,-0.063594,-0.064864,0.99587,-1.1515,0.3,0.09866,0,0,0,0,80.228,-6424,-8416.5,-2.7055e+05,-18630,-25.569,0.88757,-1.3353,83.054
-1.3985,-0.063594,-0.064864,0.99587,-1.15,0.3,0.098756,0,0,0,0,79.939,-6383.8,-8383.3,-2.7058e+05,-18664,-25.572,0.8879,-1.3975,83.068
-1.3922,-0.063594,-0.064864,0.99587,-1.1485,0.3,0.098851,0,0,0,0,79.962,-6355.4,-8632.3,-2.714e+05,-18794,-25.703,0.91685,-1.4612,83.295
-1.3886,-0.063593,-0.064865,0.99587,-1.147,0.3,0.098946,0,0,0,0,80.392,-6338.7,-9221.4,-2.7345e+05,-19082,-26.031,0.98153,-1.5422,83.847
-1.3908,-0.067545,-0.062593,0.99575,-1.1455,0.3,0.099041,0,0,0,0,81.044,-6348.8,-10515,-2.7649e+05,-18749,-26.518,1.113,-1.6486,84.653
-1.3975,-0.080416,-0.057334,0.99511,-1.1441,0.3,0.099146,0,0,0,0,81.407,-6379.3,-11402,-2.7804e+05,-17237,-26.761,1.1865,-1.6738,85.046
-1.3858,-0.090206,-0.053617,0.99448,-1.1426,0.3,0.09928,0,0,0,0,81.28,-6326.3,-10418,-2.7586e+05,-15838,-26.384,1.0781,-1.7083,84.437
-1.3566,-0.091091,-0.052886,0.99444,-1.1411,0.3,0.099412,0,0,0,0,80.863,-6192.5,-8818.3,-2.7224e+05,-15358,-25.778,0.92672,-1.8162,83.462
-1.3322,-0.091124,-0.05291,0.99443,-1.1397,0.3,0.099545,0,0,0,0,80.055,-6081.3,-7730,-2.6888e+05,-15217,-25.235,0.82456,-1.8719,82.572
-1.3247,-0.091592,-0.053182,0.99438,-1.139,0.3,0.099608,0,0,0,0,79.698,-6047.3,-7501,-2.6769e+05,-15186,-25.041,0.80303,-1.8867,82.255
-1.3107,-0.091695,-0.053182,0.99437,-1.1378,0.3,0.099717,0,0,0,0,79.138,-5983.1,-7048.7,-2.661e+05,-15131,-24.783,0.75982,-1.9052,81.829
-1.295,-0.091698,-0.053181,0.99437,-1.1364,0.3,0.099846,0,0,0,0,78.483,-5911.5,-6734.8,-2.6435e+05,-15048,-24.497,0.73316,-1.9565,81.363
-1.2816,-0.091701,-0.053181,0.99437,-1.135,0.3,0.099977,0,0,0,0,77.936,-5850.3,-6456.5,-2.6331e+05,-14967,-24.328,0.70873,-2.008,81.089
-1.2715,-0.091699,-0.053181,0.99437,-1.1335,0.3,0.10011,0,0,0,0,77.506,-5804.1,-6255.9,-2.6279e+05,-14930,-24.243,0.69139,-2.0523,80.955
-1.263,-0.0917,-0.053181,0.99437,-1.1321,0.3,0.10025,0,0,0,0,77.252,-5765.6,-6245.6,-2.6271e+05,-14952,-24.228,0.69245,-2.0935,80.94
-1.2559,-0.091701,-0.053181,0.99437,-1.1306,0.3,0.10039,0,0,0,0,77.232,-5733.3,-6447.5,-2.6318e+05,-15062,-24.3,0.71451,-2.14,81.074
-1.2508,-0.092369,-0.052515,0.99434,-1.1291,0.3,0.10052,0,0,0,0,77.5,-5709.8,-7091.2,-2.6465e+05,-15076,-24.527,0.77907,-2.2127,81.472
-1.2512,-0.1,-0.049694,0.99374,-1.1276,0.3,0.10066,0,0,0,0,77.7,-5711.8,-7908.3,-2.6609e+05,-14361,-24.749,0.85024,-2.2399,81.851
-1.2445,-0.10949,-0.046053,0.99292,-1.1262,0.3,0.10082,0,0,0,0,77.517,-5680.8,-7667.7,-2.6502e+05,-13127,-24.565,0.81551,-2.2555,81.548
-1.2209,-0.112,-0.044573,0.99271,-1.1247,0.3,0.10098,0,0,0,0,76.849,-5573.1,-6488.4,-2.6117e+05,-12405,-23.946,0.70009,-2.2982,80.516
-1.2119,-0.112,-0.044574,0.99271,-1.124,0.3,0.10106,0,0,0,0,76.538,-5532.1,-6131.7,-2.5978e+05,-12388,-23.726,0.66748,-2.307,80.147
-1.1931,-0.11342,-0.045279,0.99252,-1.1228,0.3,0.10119,0,0,0,0,75.793,-5446.4,-5294.8,-2.571e+05,-12277,-23.303,0.5901,-2.3128,79.43
-1.1751,-0.11411,-0.045664,0.99242,-1.1214,0.3,0.10135,0,0,0,0,75.14,-5364.2,-4972.9,-2.55e+05,-12408,-22.972,0.56312,-2.346,78.87
-1.1588,-0.11447,-0.04592,0.99236,-1.12,0.3,0.10151,0,0,0,0,74.448,-5289.7,-4739.5,-2.532e+05,-12434,-22.69,0.54255,-2.3816,78.392
-1.1448,-0.11453,-0.045971,0.99236,-1.1186,0.3,0.10168,0,0,0,0,73.799,-5226,-4523.8,-2.5181e+05,-12351,-22.475,0.52182,-2.4071,78.025
-1.1323,-0.11453,-0.045971,0.99236,-1.1171,0.3,0.10185,0,0,0,0,73.207,-5168.9,-4370.7,-2.5066e+05,-12274,-22.298,0.50693,-2.4221,77.721
-1.1205,-0.11453,-0.045972,0.99236,-1.1156,0.3,0.10202,0,0,0,0,72.674,-5115,-4334.8,-2.4964e+05,-12227,-22.142,0.50279,-2.4307,77.453
-1.1092,-0.11453,-0.045972,0.99236,-1.1141,0.3,0.10219,0,0,0,0,72.207,-5063.6,-4418.8,-2.4876e+05,-12209,-22.007,0.50959,-2.4381,77.224
-1.099,-0.11453,-0.045971,0.99236,-1.1127,0.3,0.10236,0,0,0,0,71.846,-5017,-4590.8,-2.4814e+05,-12228,-21.913,0.5243,-2.447,77.068
-1.0893,-0.11491,-0.045553,0.99233,-1.1113,0.3,0.10253,0,0,0,0,71.559,-4972.7,-5096.3,-2.48e+05,-12223,-21.89,0.56837,-2.4668,77.041
-1.087,-0.11587,-0.046357,0.99218,-1.1106,0.3,0.10261,0,0,0,0,71.46,-4962.1,-5341.6,-2.4808e+05,-12085,-21.898,0.58897,-2.4736,77.061
-1.082,-0.12639,-0.041771,0.9911,-1.1094,0.3,0.10275,0,0,0,0,71.122,-4939.3,-5620.2,-2.4792e+05,-11541,-21.868,0.60692,-2.4779,77.013
-1.0714,-0.12746,-0.040926,0.991,-1.108,0.3,0.10292,0,0,0,0,70.828,-4890.9,-5367.7,-2.4667e+05,-10827,-21.67,0.57821,-2.4982,76.669
-1.0524,-0.12838,-0.040368,0.9909,-1.1066,0.3,0.10311,0,0,0,0,70.39,-4804,-4466.4,-2.4444e+05,-10480,-21.327,0.49698,-2.533,76.068
-1.0361,-0.12912,-0.040865,0.99079,-1.1051,0.3,0.1033,0,0,0,0,69.897,-4729.7,-3681.7,-2.4274e+05,-10507,-21.069,0.4302,-2.5552,75.612
-1.0229,-0.13092,-0.041854,0.99051,-1.1036,0.3,0.10349,0,0,0,0,69.387,-4669.2,-3253.6,-2.4123e+05,-10718,-20.844,0.39601,-2.5673,75.212
-1.0087,-0.13218,-0.042556,0.99031,-1.1022,0.3,0.10369,0,0,0,0,68.856,-4604.4,-3188.6,-2.3949e+05,-10848,-20.588,0.39105,-2.5695,74.752
-0.99366,-0.13234,-0.042711,0.99028,-1.1008,0.3,0.10387,0,0,0,0,68.337,-4536,-3247.7,-2.3776e+05,-10802,-20.334,0.39404,-2.5592,74.292
-0.97719,-0.13234,-0.042714,0.99028,-1.0995,0.3,0.10404,0,0,0,0,67.481,-4460.8,-3296.4,-2.3542e+05,-10689,-19.994,0.39463,-2.5281,73.669
-0.95979,-0.13234,-0.042715,0.99028,-1.0974,0.3,0.10433,0,0,0,0,66.605,-4381.3,-3396,-2.3331e+05,-10620,-19.685,0.40091,-2.5132,73.105
-0.94639,-0.13234,-0.042714,0.99028,-1.096,0.3,0.10451,0,0,0,0,66.124,-4320.2,-3474.2,-2.3242e+05,-10605,-19.553,0.40731,-2.5265,72.87
-0.93661,-0.13234,-0.042713,0.99028,-1.0946,0.3,0.1047,0,0,0,0,65.782,-4275.5,-3562.4,-2.3202e+05,-10631,-19.494,0.41499,-2.5416,72.769
-0.92798,-0.1326,-0.042445,0.99026,-1.0931,0.3,0.10489,0,0,0,0,65.632,-4236.1,-3842.1,-2.3214e+05,-10655,-19.508,0.43891,-2.5683,72.808
-0.9213,-0.13684,-0.040892,0.98975,-1.0917,0.3,0.10509,0,0,0,0,65.485,-4205.6,-4330.8,-2.3219e+05,-10306,-19.508,0.47547,-2.5896,72.82
-0.9115,-0.14308,-0.038584,0.98896,-1.0903,0.3,0.10529,0,0,0,0,65.157,-4160.9,-4319.2,-2.309e+05,-9586,-19.319,0.46539,-2.5872,72.469
-0.89133,-0.14535,-0.037567,0.98867,-1.089,0.3,0.10548,0,0,0,0,64.295,-4068.8,-3637.6,-2.273e+05,-9088.7,-18.807,0.40105,-2.551,71.5
-0.86786,-0.14535,-0.037567,0.98867,-1.0868,0.3,0.10579,0,0,0,0,63.297,-3961.7,-3080.9,-2.2374e+05,-8941.1,-18.302,0.35178,-2.5159,70.538
-0.84945,-0.14535,-0.037565,0.98867,-1.0856,0.3,0.10598,0,0,0,0,62.639,-3877.6,-2748.9,-2.2179e+05,-8855.8,-18.027,0.32338,-2.5104,70.01
