"Cp","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","RegionId","U:0","U:1","U:2","k","p","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
-0.86983,-0.15532,0.47417,0.86659,-0.020243,0.3,0.42286,0,0,0,0,84.969,-3970.7,-70851,-5.9638e+05,3.0943e+05,-32.129,1.5744,-4.3653,35.775
-0.81134,-0.15968,0.47224,0.86688,-0.018453,0.3,0.42316,0,0,0,0,84.047,-3703.7,-71319,-5.5432e+05,2.8294e+05,-29.557,1.3373,-4.8334,35.55
-0.79298,-0.16459,0.47035,0.86693,-0.01782,0.3,0.42329,0,0,0,0,82.904,-3619.9,-72087,-5.4493e+05,2.774e+05,-28.837,1.3212,-4.9064,35.281
-0.62528,-0.19604,0.46386,0.86394,-0.012643,0.3,0.42447,0,0,0,0,74.42,-2854.4,-76344,-4.9041e+05,2.4403e+05,-24.488,1.2643,-5.0913,32.959
-0.59961,-0.19662,0.46382,0.86384,-0.011936,0.3,0.42463,0,0,0,0,72.991,-2737.2,-76877,-4.8062e+05,2.3839e+05,-23.697,1.2492,-5.1025,32.54
-0.41069,-0.19019,0.46498,0.86465,-0.0059156,0.3,0.42599,0,0,0,0,62.703,-1874.7,-82203,-4.3727e+05,2.1467e+05,-19.49,1.2994,-4.7891,28.683
-0.34788,-0.18708,0.46529,0.86516,-0.0028871,0.3,0.42664,0,0,0,0,59.212,-1588,-86065,-4.4048e+05,2.1712e+05,-18.337,1.3293,-4.5243,26.192
-0.28661,-0.15733,0.47065,0.86817,-3.9869e-05,0.3,0.42726,0,0,0,0,55.892,-1308.4,-88943,-4.4208e+05,2.1908e+05,-17.236,1.3384,-4.2687,23.907
-0.17529,-0.15662,0.47081,0.86822,0.005434,0.3,0.42824,0,0,0,0,55.502,-800.2,-1.0853e+05,-5.3116e+05,2.717e+05,-17.822,1.5656,-4.0484,19.023
-0.16662,-0.12047,0.47975,0.86909,0.0063462,0.3,0.42837,0,0,0,0,52.702,-760.59,-1.1354e+05,-5.5578e+05,2.8534e+05,-18.098,1.6355,-4.0276,18.206
-0.12342,-0.11259,0.48246,0.86864,0.0087732,0.3,0.42872,0,0,0,0,54.16,-563.41,-1.2654e+05,-6.2037e+05,3.2246e+05,-19.252,1.806,-4.0848,16.372
-0.12463,-0.10827,0.4826,0.8691,0.0091565,0.3,0.42876,0,0,0,0,50.987,-568.93,-1.3045e+05,-6.3461e+05,3.2969e+05,-19.336,1.8693,-4.0563,15.935
-0.12627,-0.10024,0.47929,0.87191,0.010292,0.3,0.4289,0,0,0,0,41.44,-576.42,-1.3965e+05,-6.6747e+05,3.5239e+05,-19.655,2.0194,-3.9685,14.998
-0.13723,-0.093835,0.48288,0.87064,0.0116,0.3,0.42904,0,0,0,0,31.6,-626.46,-1.4346e+05,-6.8892e+05,3.6561e+05,-19.535,2.0893,-3.7373,14.056
-0.10356,-0.048776,0.48702,0.87202,0.014671,0.3,0.42937,0,0,0,0,14.689,-472.76,-1.6945e+05,-8.5338e+05,4.6548e+05,-21.834,2.4173,-3.5461,11.204
-0.1038,-0.048619,0.48715,0.87196,0.014889,0.3,0.42938,0,0,0,0,14.148,-473.85,-1.6977e+05,-8.6994e+05,4.749e+05,-22.109,2.414,-3.5223,11.043
-0.10789,-0.046486,0.48809,0.87153,0.015311,0.3,0.4294,0,0,0,0,13.457,-492.52,-1.6953e+05,-8.9377e+05,4.8804e+05,-22.478,2.3991,-3.4694,10.796
-0.10739,-0.035309,0.49,0.871,0.017154,0.3,0.42947,0,0,0,0,8.3816,-490.21,-1.8285e+05,-1.0376e+06,5.6798e+05,-24.641,2.5357,-3.3196,9.1789
-0.11344,-0.036982,0.4898,0.87105,0.01723,0.3,0.42948,0,0,0,0,8.2283,-517.83,-1.834e+05,-1.0485e+06,5.724e+05,-24.781,2.5402,-3.3032,9.0636
-0.13156,-0.042267,0.48879,0.87136,0.017846,0.3,0.4295,0,0,0,0,7.6402,-600.55,-1.8303e+05,-1.0964e+06,5.9638e+05,-25.551,2.472,-3.3106,8.6859
-0.15011,-0.052418,0.48542,0.8727,0.019043,0.3,0.42958,0,0,0,0,7.9216,-685.23,-1.8654e+05,-1.1606e+06,6.32e+05,-26.975,2.4803,-3.4134,8.5489
-0.15926,-0.054117,0.4852,0.87273,0.019487,0.3,0.42961,0,0,0,0,8.0706,-727.02,-1.8657e+05,-1.1924e+06,6.4883e+05,-27.665,2.4811,-3.3923,8.479
-0.183,-0.019749,0.48845,0.87237,0.020891,0.3,0.42967,0,0,0,0,7.7018,-835.4,-1.8466e+05,-1.2148e+06,6.745e+05,-29.188,2.8131,-2.9412,9.2439
-0.21313,-0.019733,0.48845,0.87237,0.02193,0.3,0.42969,0,0,0,0,5.8103,-972.9,-1.876e+05,-1.3402e+06,7.5357e+05,-32.112,3.0862,-2.5444,9.1058
-0.23114,-0.01973,0.48845,0.87237,0.022497,0.3,0.42971,0,0,0,0,6.0489,-1055.1,-1.8131e+05,-1.3001e+06,7.2449e+05,-32.362,3.1139,-2.5566,10.229
-0.26434,-0.019731,0.48845,0.87237,0.023056,0.3,0.42972,0,0,0,0,5.4152,-1206.7,-1.8394e+05,-1.5147e+06,8.537e+05,-36.892,3.0977,-2.5306,9.7123
-0.29481,-0.019719,0.48844,0.87237,0.023313,0.3,0.42973,0,0,0,0,5.1253,-1345.8,-1.8314e+05,-1.5901e+06,8.9834e+05,-39.503,3.1237,-2.4794,10.029
-0.3547,-0.019745,0.48845,0.87237,0.024245,0.3,0.42975,0,0,0,0,7.3392,-1619.2,-2.6586e+05,-1.92e+06,1.1029e+06,-48.691,3.9263,-4.3848,10.414
